  ra              dec             W(C18O)       AV               AV_sig             AV_n   N(C18O)           N(H2)                   X(C18O)              W(13CO)   AV_2             AV_sig_2        AV_n_2   N(13CO)         N(H2)_2            X(13CO)           
  64.1522550869   27.71553        -0.0989541    1.12075874414    3.68015284512      20.0   -9.810309474E13   1.05351321949E21        -9.31199465984E-8    2.0439    1.15732572035    1.52523995588   18.0     2.02632246E15   1.08788617713E21   1.86262359298E-6  
  64.1522550869   27.7259466667   -0.19459      1.03199878618    3.58660677532      19.0   -1.92916526E14    9.70078859009E20        -1.98866849028E-7    2.4861    0.972763980812   1.50766972973   16.0     2.46471954E15   9.14398141963E20   2.69545554271E-6  
  64.1522550869   27.7363633333   -0.22078      0.917114486937   3.47219692484      19.0   -2.18881292E14    8.62087617721E20        -2.53896805268E-7    2.9253    0.864260308352   1.48973192168   18.0     2.90014242E15   8.12404689851E20   3.56982481297E-6  
  64.1522550869   27.74678        -0.0254342    0.934328566014   3.70040877146      19.0   -2.521546588E13   8.78268852053E20        -2.87104180241E-8    3.0815    0.858284428799   1.48053055485   18.0     3.0549991E15    8.06787363071E20   3.78662239871E-6  
  64.1522550869   27.7571966667   -0.20576      1.0656295398     3.8157214471       19.0   -2.03990464E14    1.00169176742E21        -2.0364594243E-7     2.9079    0.942691516829   1.4775440635    18.0     2.88289206E15   8.86130025819E20   3.25335106136E-6  
  64.1522550869   27.7676133333   -0.18902      1.21205390193    3.55238811323      19.0   -1.87394428E14    1.13933066782E21        -1.64477647529E-7    2.3814    1.22340124517    1.4933941752    18.0     2.36091996E15   1.14999717046E21   2.05297892956E-6  
  64.1522550869   27.77803        0.00282967    1.33041376494    3.09543103392      19.0   2.805334838E12    1.25058893904E21        2.24321097878E-9     2.3175    1.31223708254    1.49643617196   19.0     2.2975695E15    1.23350285759E21   1.86263816567E-6  
  64.1522550869   27.7884466667   0.0223777     1.38183438954    2.32887426341      20.0   2.218525178E13    1.29892432617E21        1.70797107522E-8     2.3015    1.3529440331     1.50018862545   19.0     2.2817071E15    1.27176739111E21   1.79412297873E-6  
  64.1522550869   27.7988633333   0.0978578     1.38925228736    1.67936479591      20.0   9.701622292E13    1.30589715012E21        7.42908604333E-8     2.4516    1.38166286818    1.50140694631   20.0     2.43051624E15   1.29876309609E21   1.87140845572E-6  
  64.1522550869   27.80928        0.13033       1.39243341481    1.45692739175      20.0   1.29209162E14     1.30888740993E21        9.87167887934E-8     2.5602    1.40474067555    1.48446788123   20.0     2.53818228E15   1.32045623502E21   1.92220098833E-6  
  64.1522550869   27.8196966667   0.10779       1.51570671377    1.40257281684      18.0   1.06863006E14     1.42476431094E21        7.50039885047E-8     2.7488    1.5518435752     1.48798903768   17.0     2.72516032E15   1.45873296068E21   1.86816942747E-6  
  64.1640116834   27.7051133333   -0.0415252    1.24015797408    1.91875114903      20.0   -4.116808328E13   1.16574849564E21        -3.53147213435E-8    2.1313    1.24017264762    1.54449589603   20.0     2.11297082E15   1.16576228876E21   1.81252287913E-6  
  64.1640116834   27.71553        0.0260725     1.15328893969    1.67311020116      21.0   2.58482765E13     1.08409160331E21        2.38432586519E-8     2.1364    1.17154556501    1.53096867612   21.0     2.11802696E15   1.10125283111E21   1.92328854934E-6  
  64.1640116834   27.7259466667   -0.11506      1.05108655457    1.53347907494      18.0   -1.14070484E14    9.88021361297E20        -1.15453459276E-7    2.7504    1.01440976737    1.51611374781   17.0     2.72674656E15   9.53545181331E20   2.85958821185E-6  
  64.1640116834   27.7363633333   -0.13987      0.955153581037   1.61726268444      20.0   -1.38667118E14    8.97844366175E20        -1.54444493082E-7    2.7969    0.943974311011   1.50168366867   20.0     2.77284666E15   8.8733585235E20    3.12491223324E-6  
  64.1640116834   27.74678        0.00741601    0.931059449857   2.06156653271      19.0   7.352232314E12    8.75195882866E20        8.40067059036E-9     2.9972    0.931040523732   1.48970902864   19.0     2.97142408E15   8.75178092308E20   3.39522219091E-6  
  64.1640116834   27.7571966667   -0.15442      1.01473851841    2.52939346115      17.0   -1.53091988E14    9.53854207303E20        -1.60498309729E-7    2.7543    1.00850407609    1.4808023717    18.0     2.73061302E15   9.47993831527E20   2.88041222336E-6  
  64.1640116834   27.7676133333   -0.15986      1.17739145018    2.74794056597      18.0   -1.58485204E14    1.10674796317E21        -1.43199002188E-7    2.5162    1.27127371453    1.49470780138   17.0     2.49456068E15   1.19499729166E21   2.08750320809E-6  
  64.1640116834   27.77803        -0.0121254    1.34724932502    2.75399968592      17.0   -1.202112156E13   1.26641436552E21        -9.49224984122E-9    2.5032    1.38321759334    1.50129239033   18.0     2.48167248E15   1.30022453774E21   1.90864916633E-6  
