  ra              dec             W(C18O)      AV               AV_sig             AV_n   N(C18O)          N(H2)              X(C18O)             W(13CO)   AV_2             AV_sig_2        AV_n_2   N(13CO)         N(H2)_2            X(13CO)           
  64.8458942819   27.24678        2.7491       15.8983838505    2.01369035866      4.0    2.72545774E15    1.49444808194E22   1.82372192981E-7    10.871    14.4649351186    2.02207378712   2.0      1.07775094E16   1.35970390115E22   7.92636499085E-7  
  64.8458942819   27.2571966667   2.4211       13.2274405034    1.92006130058      8.0    2.40027854E15    1.24337940732E22   1.93044739673E-7    9.9944    13.3099766661    1.83286927957   4.0      9.90844816E15   1.25113780661E22   7.9195497951E-7   
  64.8458942819   27.2676133333   2.1027       11.7654491348    1.7972765511       8.0    2.08461678E15    1.10595221867E22   1.88490672998E-7    8.5372    11.0409331192    1.61795931621   8.0      8.46378008E15   1.0378477132E22    8.1551271659E-7   
  64.8458942819   27.27803        1.945        10.3678900665    1.74747959846      9.0    1.928273E15      9.7458166625E21    1.97856482097E-7    8.4463    10.0412438524    1.54954832981   9.0      8.37366182E15   9.43876922123E21   8.87156113655E-7  
  64.8458942819   27.2884466667   1.8486       9.2901326621     1.71256562321      11.0   1.83270204E15    8.73272470238E21   2.09866004307E-7    8.3034    9.35873748504    1.52735373987   11.0     8.23199076E15   8.79721323593E21   9.3574982659E-7   
  64.8458942819   27.2988633333   1.7458       8.43038232884    1.80843649199      13.0   1.73078612E15    7.92455938911E21   2.18407867872E-7    8.1967    8.75985859746    1.50890981584   12.0     8.12620838E15   8.23426708161E21   9.86876949638E-7  
  64.8458942819   27.30928        1.4786       7.40673202279    2.00876936443      15.0   1.46588404E15    6.96232810142E21   2.10545096216E-7    7.4562    6.93796669597    1.49524186559   17.0     7.39207668E15   6.52168869421E21   1.13346052328E-6  
  64.8458942819   27.3196966667   1.0691       6.43293750681    2.16969223113      16.0   1.05990574E15    6.0469612564E21    1.75279069116E-7    7.2611    5.80917846936    1.49020398988   18.0     7.19865454E15   5.4606277612E21    1.31828332837E-6  
  64.8458942819   27.3301133333   0.77821      5.11112444273    2.4281167635       20.0   7.71517394E14    4.80445697617E21   1.60583682574E-7    6.8335    4.86590688959    1.49370741819   21.0     6.7747319E15    4.57395247621E21   1.48115485135E-6  
  64.8458942819   27.34053        0.50847      3.92127892459    2.70938569533      18.0   5.04097158E14    3.68600218911E21   1.36759863976E-7    6.3249    3.91592071593    1.49449112392   19.0     6.27050586E15   3.68096547297E21   1.70349488634E-6  
