  ra              dec             W(C18O)      AV              AV_sig           AV_n   N(C18O)           N(H2)                   X(C18O)             W(13CO)   AV_2            AV_sig_2        AV_n_2   N(13CO)       N(H2)_2                 X(13CO)         
  64.1522550869   28.1321966667   0.58059      3.83480561934   1.8088696837     19.0   5.75596926E14     3.60471728218E21        1.59678798902E-7    5.7799    3.60122012102   1.52704717195   17.0     5.73019286E15   3.38514691376E21        1.69274569346E-6  
  64.1522550869   28.1426133333   0.73629      3.89759271474   1.75123584556    19.0   7.29957906E14     3.66373715185E21        1.99238612309E-7    5.4302    3.7184424698    1.50819379687   16.0     5.38350028E15   3.49533592161E21        1.54019539201E-6  
  64.1522550869   28.15303        0.83407      3.89549089513   1.69807310169    19.0   8.26896998E14     3.66176144143E21        2.25819461816E-7    5.7377    3.74379975998   1.50048699308   17.0     5.68835578E15   3.51917177438E21        1.6163904875E-6   
  64.1522550869   28.1634466667   0.61965      3.81641296429   1.70589232696    21.0   6.1432101E14      3.58742818643E21        1.71242733812E-7    6.1579    3.6974184745    1.50042415211   19.0     6.10494206E15   3.47557336603E21        1.7565280364E-6   
  64.1522550869   28.1738633333   0.5652       3.73239183377   1.74570458784    19.0   5.6033928E14      3.50844832375E21        1.59711424623E-7    6.183     3.66438996397   1.50206866607   17.0     6.1298262E15    3.44452656613E21        1.77958453283E-6  
  64.1522550869   28.18428        0.6815       3.44102389817   1.82932897103    21.0   6.756391E14       3.23456246428E21        2.08881141564E-7    5.9304    3.30547218696   1.50813737705   20.0     5.87939856E15   3.10714385574E21        1.89221961807E-6  
  64.1522550869   28.1946966667   0.49523      3.25800446341   1.89197194386    18.0   4.90971022E14     3.0625241956E21         1.60315801816E-7    6.031     3.18555869611   1.51043884439   20.0     5.9791334E15    2.99442517434E21        1.99675498698E-6  
  64.1522550869   28.2051133333   0.39991      3.08515041042   1.88493547547    18.0   3.96470774E14     2.90004138579E21        1.36712108986E-7    5.5585    3.05846962245   1.50594122228   19.0     5.5106969E15    2.8749614451E21         1.91678984405E-6  
  64.1522550869   28.21553        0.42902      3.02957868863   1.87845246318    15.0   4.25330428E14     2.84780396731E21        1.49353829436E-7    5.0887    2.99574452735   1.49708005875   16.0     5.04493718E15   2.81599985571E21        1.79152607901E-6  
  64.1522550869   28.2259466667   1.1097       3.18473937874   1.88555152735    17.0   1.10015658E15     2.99365501602E21        3.67496112315E-7    5.8633    3.285487512     1.49494567895   21.0     5.81287562E15   3.08835826128E21        1.88218954157E-6  
  64.1522550869   28.2363633333   0.69695      3.51716539179   1.89105566876    19.0   6.9095623E14      3.30613546829E21        2.08992110767E-7    6.0957    3.59538653032   1.50524715449   20.0     6.04327698E15   3.3796633385E21         1.78812987411E-6  
  64.1522550869   28.24678        0.12215      4.0190309702    1.86501895272    17.0   1.2109951E14      3.77788911199E21        3.20548079656E-8    6.6458    3.9825655085    1.52072318903   17.0     6.58864612E15   3.74361157799E21        1.75997054789E-6  
  64.1522550869   28.2571966667   0.76599      4.56312891539   1.80444484026    17.0   7.59402486E14     4.28934118047E21        1.77044085338E-7    7.6253    4.41498562772   1.53359948378   17.0     7.55972242E15   4.15008649005E21        1.8215818967E-6   
  64.1522550869   28.2676133333   1.3162       5.01793256699   1.68224469218    14.0   1.30488068E15     4.71685661297E21        2.7664200697E-7     8.7455    5.03437750526   1.56589486877   15.0     8.6702887E15    4.73231485494E21        1.83214535925E-6  
  64.1522550869   28.27803        1.6591       5.21854526493   1.68173895218    15.0   1.64483174E15     4.90543254904E21        3.35308196282E-7    7.6928    5.14303574161   1.56802070818   15.0     7.62664192E15   4.83445359712E21        1.57756026959E-6  
  64.1522550869   28.2884466667   1.5256       5.17898039443   1.77003302065    17.0   1.51247984E15     4.86824157077E21        3.10682988511E-7    7.4481    5.14591846089   1.56935632421   17.0     7.38404634E15   4.83716335324E21        1.52652408049E-6  
  64.1522550869   28.2988633333   0.77626      5.05188362478   1.85446887723    18.0   7.69584164E14     4.74877060729E21        1.62059662941E-7    7.0683    5.08373391962   1.57227212737   18.0     7.00751262E15   4.77870988444E21        1.46640260435E-6  
  64.1522550869   28.30928        0.36477      4.79801516439   1.93490105931    16.0   3.61632978E14     4.51013425453E21        8.01823089051E-8    6.3121    4.59560821852   1.55374731754   15.0     6.25781594E15   4.31987172541E21        1.44861151853E-6  
  64.1522550869   28.3196966667   0.21173      4.24400979482   2.2042403723     16.0   2.09909122E14     3.98936920713E21        5.26171209285E-8    5.3224    4.13973794132   1.53501269299   16.0     5.27662736E15   3.89135366484E21        1.35598761112E-6  
  64.1522550869   28.3301133333   0.43722      3.69300078298   2.28272466564    17.0   4.33459908E14     3.4714207359999997E21   1.2486527591E-7     4.7867    3.71998488687   1.51757383487   17.0     4.74553438E15   3.49678579366E21        1.35711326344E-6  
  64.1522550869   28.34053        0.19937      3.12582726962   2.25241608014    16.0   1.97655418E14     2.93827763344E21        6.72691428987E-8    4.5545    3.23988626828   1.50351908914   17.0     4.5153313E15    3.04549309218E21        1.48262733269E-6  
  64.1522550869   28.3509466667   0.52741      2.67563814769   2.15459874371    17.0   5.22874274E14     2.51509985883E21        2.0789404133E-7     3.6047    2.45108669995   1.47466116894   17.0     3.57369958E15   2.30402149795E21        1.55107041457E-6  
  64.1522550869   28.3613633333   0.17577      2.2830011195    1.95170429445    18.0   1.74258378E14     2.14602105233E21        8.12006843132E-8    3.6761    2.23378619058   1.47394356925   17.0     3.64448554E15   2.09975901914E21        1.73566847756E-6  
