 
  ra              dec             W(C18O)     AV              AV_sig            AV_n   N(C18O)         N(H2)              X(C18O)            W(13CO)   AV_2            AV_sig_2        AV_n_2   N(13CO)         N(H2)_2                 X(13CO)           
  65.6688560386   26.5801133333   0.24471     1.65096959373   7.25667193549     17.0   2.42605494E14   1.55191141811E21   1.56326895446E-7   1.9389      1.6510450698    1.49933380363   17.0     1.92222546E15   1.55198236561E21        1.23856140546E-6  
  65.6688560386   26.59053        0.325       1.41845824464   4.17854145118     18.0   3.22205E14      1.33335074996E21   2.41650593446E-7   2.1436      1.51201277722   1.48315602601   18.0     2.12516504E15   1.42129201058E21        1.49523463453E-6  
  65.6688560386   26.6009466667   0.21761     1.26842357497   1.38161592274     17.0   2.15738554E14   1.19231816048E21   1.8094042442E-7    2.5416      1.37632930375   1.49178571562   18.0     2.51974224E15   1.29374954553E21        1.94762753634E-6  
  65.6688560386   26.6113633333   0.27536     1.52815070609   0.912233267222    18.0   2.72991904E14   1.43646166372E21   1.90044684724E-7   3.3862      1.59515266597   1.50335280331   19.0     3.35707868E15   1.49944350602E21        2.23888306997E-6  
  65.6688560386   26.62178        0.19976     1.85187294169   0.490566393311    21.0   1.98042064E14   1.74076056519E21   1.13767549633E-7   3.6738      1.85189567844   1.51429177823   21.0     3.64220532E15   1.74078193773E21        2.09228119907E-6  
  65.6688560386   26.6321966667   0.18528     2.09184169128   0.338186486313    18.0   1.83686592E14   1.96633118981E21   9.34158970535E-8   4.1379      2.05910491792   1.51801804751   18.0     4.10231406E15   1.93555862285E21        2.11944707413E-6  
  65.6688560386   26.6426133333   0.29058     2.30314479288   0.730643882937    19.0   2.88081012E14   2.16495610531E21   1.33065520956E-7   4.1812      2.33105164197   1.51761836056   20.0     4.14524168E15   2.19118854346E21        1.89177772601E-6  
  65.6688560386   26.65303        0.37997     2.41639116283   1.40875653766     22.0   3.76702258E14   2.27140769306E21   1.6584528579E-7    4.1728      2.43080217045   1.51511323219   22.0     4.13691392E15   2.28495404022E21        1.81050202638E-6  
  65.6688560386   26.6634466667   0.28558     2.49608328019   2.04526510679     22.0   2.83124012E14   2.34631828338E21   1.2066735106E-7    4.211       2.49609282388   1.51382742742   22.0     4.1747854E15    2.34632725445E21        1.77928521782E-6  
  65.6688560386   26.6738633333   0.15664     2.55152637124   4.05044128184     21.0   1.55292896E14   2.39843478897E21   6.47475998573E-8   4.2788      2.50434484457   1.51163041559   21.0     4.24200232E15   2.3540841539E21         1.80197564857E-6  
  65.6688560386   26.68428        0.18492     2.54887782035   5.5342237176      19.0   1.83329688E14   2.39594515113E21   7.65166464322E-8   4.0317      2.47729768293   1.51595345345   19.0     3.99702738E15   2.32865982195E21        1.71644966874E-6  
  65.6688560386   26.6946966667   0.23802     2.4578323205    7.05262358621     19.0   2.35973028E14   2.31036238127E21   1.02136803262E-7   3.4072      2.44173454983   1.52491776229   18.0     3.37789808E15   2.29523047684E21        1.47170321851E-6  
  65.6688560386   26.7051133333   0.27056     2.43718881954   7.90384835491     18.0   2.68233184E14   2.29095749036E21   1.17083440059E-7   3.1889      2.4371521656    1.53312187722   18.0     3.16147546E15   2.29092303566E21        1.38000072931E-6  
  65.6806126352   26.5801133333   0.24497     1.5683925038    13.9322870932     18.0   2.42863258E14   1.47428895357E21   1.6473246809E-7    2.1018      1.59638677137   1.51341298138   17.0     2.08372452E15   1.50060356508E21        1.38859094333E-6  
  65.6806126352   26.59053        0.3241      1.36378598565   7.2578928379      17.0   3.2131274E14    1.28195882651E21   2.50642012329E-7   2.343       1.47382334854   1.49269617078   17.0     2.3228502E15    1.38539394762E21        1.67667124863E-6  
  65.6806126352   26.6009466667   0.22135     1.20496180267   1.18923856046     16.0   2.1944639E14    1.13266409451E21   1.93743574167E-7   2.7925      1.27011964741   1.49895417612   17.0     2.7684845E15    1.19391246856E21        2.31883372768E-6  
  65.6806126352   26.6113633333   0.21094     1.36832211792   0.655892211221    16.0   2.09125916E14   1.28622279084E21   1.62589185551E-7   3.6673      1.4306754838    1.51187963189   16.0     3.63576122E15   1.34483495477E21        2.70349994035E-6  
  65.6806126352   26.62178        0.18513     1.59249013845   0.218937082252    18.0   1.83537882E14   1.49694073014E21   1.22608649965E-7   4.0358      1.62586627174   1.52280171721   18.0     4.00109212E15   1.52831429543E21        2.61797729168E-6  
  65.6806126352   26.6321966667   0.18111     1.78276315037   0.0633483663602   16.0   1.79552454E14   1.67579736134E21   1.07144490224E-7   4.107       1.79331022357   1.52766847126   16.0     4.0716798E15    1.68571161016E21        2.41540710491E-6  
  65.6806126352   26.6426133333   0.23298     2.04940516199   0.385472968496    17.0   2.30976372E14   1.92644085227E21   1.19897982711E-7   4.3924      2.12449989576   1.52979746265   18.0     4.35462536E15   1.99702990202E21        2.18055090492E-6  
  65.6806126352   26.65303        0.27265     2.22783906387   1.06912872542     20.0   2.7030521E14    2.09416872004E21   1.29075182632E-7   4.3369      2.27863261878   1.52671149852   20.0     4.29960266E15   2.14191466165E21        2.00736412938E-6  
  65.6806126352   26.6634466667   0.26379     2.39412917259   1.74115205225     20.0   2.61521406E14   2.25048142223E21   1.16206871746E-7   4.286       2.40261201763   1.5245549526    20.0     4.2491404E15    2.25845529657E21        1.8814365759E-6   
  65.6806126352   26.6738633333   0.26146     2.53921694493   3.76746817446     19.0   2.59211444E14   2.38686392824E21   1.08599171044E-7   4.2109      2.47556237432   1.52266847264   20.0     4.17468626E15   2.32702863186E21        1.79399866544E-6  
  65.6806126352   26.68428        0.17242     2.58723277664   5.22068368603     17.0   1.70937188E14   2.43199881004E21   7.02867070881E-8   3.7662      2.53287191368   1.52631917509   17.0     3.73381068E15   2.38089959886E21        1.56823525099E-6  
  65.6806126352   26.6946966667   0.1765      2.55867314875   6.77225117017     17.0   1.749821E14     2.40515275982E21   7.27530088413E-8   3.4908      2.52931214272   1.53549549176   17.0     3.46077912E15   2.37755341416E21        1.45560520298E-6  
  65.6806126352   26.7051133333   0.22161     2.59580146832   7.82131212907     17.0   2.19704154E14   2.44005338022E21   9.00407162321E-8   3.5259      2.56286871746   1.54676336227   17.0     3.49557726E15   2.40909659442E21        1.45099091008E-6  
  65.6806126352   26.71553        0.1492      2.62522073292   7.41345806722     20.0   1.4791688E14    2.46770748895E21   5.99410102949E-8   3.4704      2.57215670491   1.55464031998   20.0     3.44055456E15   2.41782730262E21        1.42299433722E-6  
  65.6806126352   26.7259466667   0.25586     2.81089163816   6.33639665637     18.0   2.53659604E14   2.64223813987E21   9.60017949072E-8   3.0664      2.85253345839   1.56192773382   17.0     3.04002896E15   2.68138145088E21        1.13375475131E-6  
  65.6806126352   26.7363633333   0.33824     3.03014068466   4.82820680272     16.0   3.35331136E14   2.84833224358E21   1.17728940069E-7   3.4766      3.0146706088    1.55939068646   19.0     3.44670124E15   2.83379037227E21        1.216286594E-6    
  65.6806126352   26.74678        0.2535      3.34475780135   3.37372234091     20.0   2.513199E14     3.14407233327E21   7.99345159273E-8   4.2268      3.25544680704   1.55987015      20.0     4.19044952E15   3.06011999861E21        1.36937424738E-6  
  65.6806126352   26.7571966667   0.25715     3.74720885254   2.07450142286     21.0   2.5493851E14    3.52237632139E21   7.23768520848E-8   4.0454      3.59060893889   1.56129309006   20.0     4.01060956E15   3.37517240256E21        1.18826805912E-6  
  65.6806126352   26.7676133333   0.34092     4.02469390572   2.03368371531     21.0   3.37988088E14   3.78321227138E21   8.93389172362E-8   4.6133      4.02909443409   1.56652503456   20.0     4.57362562E15   3.78734876805E21        1.20760613825E-6  
  65.6806126352   26.77803        0.5263      4.18745607311   1.94785505835     19.0   5.2177382E14    3.93620870872E21   1.32557457851E-7   4.6025      4.12432675879   1.57249873398   20.0     4.5629185E15    3.87686715326E21        1.17696024125E-6  
  65.6806126352   26.7884466667   0.51992     4.27765989239   1.85825176985     17.0   5.15448688E14   4.02100029885E21   1.28189169284E-7   4.4946      4.22125366791   1.57278222662   17.0     4.45594644E15   3.96797844783E21        1.12297647242E-6  
  65.6806126352   26.7988633333   0.47376     4.1686786794    1.80271289047     15.0   4.69685664E14   3.91855795864E21   1.19861864736E-7   4.455       4.15232145778   1.5674511437    15.0     4.416687E15     3.90318217031E21        1.13156055938E-6  
  65.6806126352   26.80928        0.46338     3.91313243629   1.76289806596     14.0   4.59394932E14   3.67834449012E21   1.24891764008E-7   3.1684      3.73836096647   1.53866828343   15.0     3.14115176E15   3.51405930849E21        8.93881259322E-7  
  65.6806126352   26.8196966667   0.44283     3.5606133227    1.81051059567     15.0   4.39021662E14   3.34697652334E21   1.31169626957E-7   3.3835      3.46315699468   1.50349847524   12.0     3.3544019E15    3.255367575E21          1.03042185643E-6  
  65.6806126352   26.8301133333   0.37155     2.87401100847   1.82608911069     13.0   3.6835467E14    2.70157034796E21   1.36348353941E-7   3.947       2.87904546138   1.47004302279   13.0     3.9130558E15    2.70630273369E21        1.44590468438E-6  
  65.6806126352   26.84053        0.46622     2.43420570546   1.77198171332     13.0   4.62210508E14   2.28815336314E21   2.02001542137E-7   3.888       2.47836754335   1.46194892402   14.0     3.8545632E15    2.32966549075E21        1.65455650835E-6  
  65.6806126352   26.8509466667   0.51067     2.3139607665    1.7610170989      13.0   5.06278238E14   2.17512312051E21   2.32758427891E-7   3.27        2.26399485745   1.48671003043   15.0     3.241878E15     2.128155166E21          1.52332783426E-6  
  65.6806126352   26.8613633333   0.49708     2.40456910386   1.8368915097      16.0   4.92805112E14   2.26029495763E21   2.18026904115E-7   3.1279      2.34612150867   1.51109328113   16.0     3.10100006E15   2.20535421815E21        1.40612334947E-6  
  65.6806126352   26.87178        0.51779     2.49967795833   1.89298650819     14.0   5.13337006E14   2.34969728083E21   2.18469421652E-7   2.8441      2.41697334662   1.52958649301   15.0     2.81964074E15   2.27195494582E21        1.24106366862E-6  
  65.6923692317   26.5801133333   0.19602     1.48304386267   21.4793056875     18.0   1.94334228E14   1.39406123091E21   1.39401500947E-7   2.5581      1.54713119954   1.52033372583   19.0     2.53610034E15   1.45430332757E21        1.74385927057E-6  
