  ra              dec             W(C18O)       AV               AV_sig          AV_n   N(C18O)           N(H2)              X(C18O)              W(N2H)         
  64.1522517595   27.7155277778   -0.0989541    1.12075304722    1.5237458555    20.0   -9.810309474E13   1.05350786438E21   -9.31204199387E-8    -0.3127601     
  64.1522517595   27.7259444444   -0.19459      1.03200270839    1.51275151565   19.0   -1.92916526E14    9.70082545884E20   -1.98866093219E-7    -0.16994       
  64.1522517595   27.7363611111   -0.22078      0.917129493221   1.49873774752   19.0   -2.18881292E14    8.62101723628E20   -2.53892650949E-7    -0.213017      
  64.1522517595   27.7467777778   -0.0254342    0.934342040183   1.48570121575   19.0   -2.521546588E13   8.78281517772E20   -2.87100039905E-8    0.03121484     
  64.1522517595   27.7571944444   -0.20576      1.06562040204    1.48523467376   19.0   -2.03990464E14    1.00168317792E21   -2.03647688707E-7    -0.2272831256  
  64.1522517595   27.7676111111   -0.18902      1.21204289934    1.49736656385   19.0   -1.87394428E14    1.13932032538E21   -1.64479140611E-7    -0.4605089     
  64.1522517595   27.7780277778   0.00282967    1.33040401751    1.5006611063    19.0   2.805334838E12    1.25057977646E21   2.24322741404E-9     0.0469301      
  64.1522517595   27.7884444444   0.0223777     1.38182277304    1.5018223237    20.0   2.218525178E13    1.29891340666E21   1.70798543354E-8     0.1891824      
  64.1522517595   27.7988611111   0.0978578     1.38923682492    1.50091354247   20.0   9.701622292E13    1.30588261543E21   7.42916873031E-8     -0.4327247     
  64.1522517595   27.8092777778   0.13033       1.39240554035    1.49011642801   20.0   1.29209162E14     1.30886120792E21   9.87187649979E-8     -0.0808275     
  64.1522517595   27.8196944444   0.10779       1.5156538523     1.49062916293   18.0   1.06863006E14     1.42471462116E21   7.50066044195E-8     0.3883572      
  64.1522517595   27.8301111111   0.13905       1.8180803279     1.49440256898   18.0   1.3785417E14      1.70899550823E21   8.0663857416E-8      -0.01400339    
  64.1522517595   27.8405277778   0.17067       2.24504083886    1.50344443198   19.0   1.69202238E14     2.11033838853E21   8.01777757157E-8     0.07538047     
  64.1522517595   27.8509444444   0.0192105     2.70003067091    1.51244445437   16.0   1.90452897E13     2.53802883066E21   7.50396901325E-9     0.2898117      
  64.1522517595   27.8613611111   0.10666       2.95023664218    1.52134710224   16.0   1.05742724E14     2.77322244365E21   3.8129910654E-8      0.0820386      
  64.1522517595   28.2155277778   0.42902       3.02964870274    1.48656248379   15.0   4.25330428E14     2.84786978057E21   1.49350377922E-7     -0.19227643    
  64.1522517595   28.2259444444   1.1097        3.18474141833    1.48823828521   17.0   1.10015658E15     2.99365693323E21   3.67495876962E-7     0.1250188      
  64.1522517595   28.2363611111   0.69695       3.51712612842    1.49623620503   19.0   6.9095623E14      3.30609856072E21   2.08994443847E-7     0.1274987      
  64.1522517595   28.2467777778   0.12215       4.01898767828    1.51982317903   17.0   1.2109951E14      3.77784841758E21   3.20551532551E-8     0.0135225      
  64.1522517595   28.2571944444   0.76599       4.56312979512    1.54238891757   17.0   7.59402486E14     4.28934200741E21   1.77044051206E-7     0.12993        
  64.1522517595   28.2676111111   1.3162        5.01801916911    1.56599423403   14.0   1.30488068E15     4.71693801896E21   2.76637232619E-7     0.0210619      
  64.1522517595   28.2780277778   1.6591        5.21860583353    1.57169349245   15.0   1.64483174E15     4.90548948352E21   3.35304304601E-7     -0.0645217     
